,date,question_title,question_detail,answer,text,author,url
0,"
      2023. 04. 23. 10:17
    ","
      생리혈이 묻은 세탁물은 찬물 세탁으로 해야하나요?
    ",생리혈처럼 피가 묻은 세탁물은 찬물로 세탁하는게 더 때가 잘 지워지는지 따뜻한 물로 세탁하는게 더 잘 지워지는지 궁금합니다. 또한 비누로만 세탁하니 잘 안지워지는데 좋은 방법 있을까요?,과산화수소로 한 번 지워보세요 집에 아마 소독약 과산화수소예요피가 묻은 오염된 부위에 무를 갈아 무즙을 거즈에 싸서 부드럽게 두드려주면얼룩이 쉽게 제거됩니다. 무에는 혈액을 분해해 주는 지아스타제라는 효소가들어있기 때문에 제거된답니다.,"
      생리혈이 묻은 세탁물은 찬물 세탁으로 해야하나요?
    생리혈처럼 피가 묻은 세탁물은 찬물로 세탁하는게 더 때가 잘 지워지는지 따뜻한 물로 세탁하는게 더 잘 지워지는지 궁금합니다. 또한 비누로만 세탁하니 잘 안지워지는데 좋은 방법 있을까요?과산화수소로 한 번 지워보세요 집에 아마 소독약 과산화수소예요피가 묻은 오염된 부위에 무를 갈아 무즙을 거즈에 싸서 부드럽게 두드려주면얼룩이 쉽게 제거됩니다. 무에는 혈액을 분해해 주는 지아스타제라는 효소가들어있기 때문에 제거된답니다.","
          그레이스32
        ",https://www.a-ha.io/questions/4618f4a4b7594fddbcfbcb8a16bc208f?aha_term=%EC%83%9D%EB%A6%AC
1,"
      2023. 04. 20. 22:26
    ","
      생리혈이 묻은 세탁물은 찬물 세탁으로 해야하나요?
    ",생리혈처럼 피가 묻은 세탁물은 찬물로 세탁하는게 더 때가 잘 지워지는지 따뜻한 물로 세탁하는게 더 잘 지워지는지 궁금합니다. 또한 비누로만 세탁하니 잘 안지워지는데 좋은 방법 있을까요?,"안녕하세요. 미래상상입니다.생리혈이 묻은 세탁물을 세탁할 때는 먼저 냉수에 섬유유연제를 약간 넣고 물에 녹인 다음에 세탁기에 넣어 세탁하는 것이 좋습니다. 만약, 생리혈이 묻은 옷이나 속옷 등을 손으로 세탁할 때에도 물에 녹인 섬유유연제를 사용하면, 섬유를 부드럽게 해주어 세탁 시에 섬유를 손상시키지 않을 수 있습니다.","
      생리혈이 묻은 세탁물은 찬물 세탁으로 해야하나요?
    생리혈처럼 피가 묻은 세탁물은 찬물로 세탁하는게 더 때가 잘 지워지는지 따뜻한 물로 세탁하는게 더 잘 지워지는지 궁금합니다. 또한 비누로만 세탁하니 잘 안지워지는데 좋은 방법 있을까요?안녕하세요. 미래상상입니다.생리혈이 묻은 세탁물을 세탁할 때는 먼저 냉수에 섬유유연제를 약간 넣고 물에 녹인 다음에 세탁기에 넣어 세탁하는 것이 좋습니다. 만약, 생리혈이 묻은 옷이나 속옷 등을 손으로 세탁할 때에도 물에 녹인 섬유유연제를 사용하면, 섬유를 부드럽게 해주어 세탁 시에 섬유를 손상시키지 않을 수 있습니다.","
          미래상상
        ",https://www.a-ha.io/questions/4618f4a4b7594fddbcfbcb8a16bc208f?aha_term=%EC%83%9D%EB%A6%AC
2,"
      2023. 04. 20. 22:08
    ","
      생리혈이 묻은 세탁물은 찬물 세탁으로 해야하나요?
    ",생리혈처럼 피가 묻은 세탁물은 찬물로 세탁하는게 더 때가 잘 지워지는지 따뜻한 물로 세탁하는게 더 잘 지워지는지 궁금합니다. 또한 비누로만 세탁하니 잘 안지워지는데 좋은 방법 있을까요?,안녕하세요. 영원한스라소니65입니다.생리혈에는 단백질이 함유되어 있어서 따뜻한물로 씻으면 혈액이 응고되어서 더 안지워져요.무조건 찬물로 씻으셔야해요.베이킹소다를 찬물에 녹여서,"
      생리혈이 묻은 세탁물은 찬물 세탁으로 해야하나요?
    생리혈처럼 피가 묻은 세탁물은 찬물로 세탁하는게 더 때가 잘 지워지는지 따뜻한 물로 세탁하는게 더 잘 지워지는지 궁금합니다. 또한 비누로만 세탁하니 잘 안지워지는데 좋은 방법 있을까요?안녕하세요. 영원한스라소니65입니다.생리혈에는 단백질이 함유되어 있어서 따뜻한물로 씻으면 혈액이 응고되어서 더 안지워져요.무조건 찬물로 씻으셔야해요.베이킹소다를 찬물에 녹여서","
          영원한스라소니65
        ",https://www.a-ha.io/questions/4618f4a4b7594fddbcfbcb8a16bc208f?aha_term=%EC%83%9D%EB%A6%AC
3,"
      2023. 04. 21. 12:51
    ","
      생리가 길어지면 분홍혈로 나오기도하나요?
    ","관계 후 예정일도 아닌데 다음날 바로 생리가 터졌었어요. 생리주기보다 5일정도 빨리 피가 나왔고 양도 평소보다 적어서 관계시에 생긴 상처때문인가 해서 병원에 갔다왔는데 생리 전단계로 보인다고 생리일 확률이 높다고 하셨습니다. 상처도 외부에 났다고 상처때문에 난 건 아닌것 같다고 하셨고 난소나 자궁도 별다른 이상은 없다고 하셨습니다. 그러고 생리하고 비슷하게 나왔습니다. 그런데 평소보다 양이 적기도 했고, 평균적으로 6~7일정도면 생리가 끝났어서 이번에도 그런줄 알았는데 연한갈색, 연한 갈색과 핑크가 섞인 색깔?로 계속 나오는 건 아니고 가끔 볼일보고 닦으면 냉이랑 섞여서 나와요 어제는 한두번 비치고 말아서 끝난줄 알았는데 안나오다가 방금 또 연한 색깔이 비쳤어요 ㅠ생리는 4월 12일날 잠깐 피가 비치고 12일 13일 사이 밤에 생리마냥 나오면서 시작했습니다. 생리가 평소보다 찝찝하게 덜나왔었는데 피가 덜 나와서 고여있던게 계속 나오는걸까요? 아니면 생리가 끝난직후 부정출혈이 일어난걸까요 . .",안녕하세요. 진호성 의사입니다.검진을 마친 뒤므로 골반염등의 염증보다는 스트레스 등으로 인한 부정출혈의 가능성이 더 높아 보입니다. 부정 출혈의 경우 지금처럼 생리예정일 전에 발생하여 지속되면 실제 생리 여부를 제대로 확인하지 못하게 되는 경우가 있습니다. 따라서 이 경우에는 관계 14일 이후 소변 등으로 자가 임신 검사를 통해 피임실패 등을 꼭 확인해보시는 것이 좋겠습니다. 그래도 출혈이 반복되거나 오래 된다면 부인과 초음파 검사후에 생리주기 조절을 고려해 보세요.,"
      생리가 길어지면 분홍혈로 나오기도하나요?
    관계 후 예정일도 아닌데 다음날 바로 생리가 터졌었어요. 생리주기보다 5일정도 빨리 피가 나왔고 양도 평소보다 적어서 관계시에 생긴 상처때문인가 해서 병원에 갔다왔는데 생리 전단계로 보인다고 생리일 확률이 높다고 하셨습니다. 상처도 외부에 났다고 상처때문에 난 건 아닌것 같다고 하셨고 난소나 자궁도 별다른 이상은 없다고 하셨습니다. 그러고 생리하고 비슷하게 나왔습니다. 그런데 평소보다 양이 적기도 했고, 평균적으로 6~7일정도면 생리가 끝났어서 이번에도 그런줄 알았는데 연한갈색, 연한 갈색과 핑크가 섞인 색깔?로 계속 나오는 건 아니고 가끔 볼일보고 닦으면 냉이랑 섞여서 나와요 어제는 한두번 비치고 말아서 끝난줄 알았는데 안나오다가 방금 또 연한 색깔이 비쳤어요 ㅠ생리는 4월 12일날 잠깐 피가 비치고 12일 13일 사이 밤에 생리마냥 나오면서 시작했습니다. 생리가 평소보다 찝찝하게 덜나왔었는데 피가 덜 나와서 고여있던게 계속 나오는걸까요? 아니면 생리가 끝난직후 부정출혈이 일어난걸까요 . .안녕하세요. 진호성 의사입니다.검진을 마친 뒤므로 골반염등의 염증보다는 스트레스 등으로 인한 부정출혈의 가능성이 더 높아 보입니다. 부정 출혈의 경우 지금처럼 생리예정일 전에 발생하여 지속되면 실제 생리 여부를 제대로 확인하지 못하게 되는 경우가 있습니다. 따라서 이 경우에는 관계 14일 이후 소변 등으로 자가 임신 검사를 통해 피임실패 등을 꼭 확인해보시는 것이 좋겠습니다. 그래도 출혈이 반복되거나 오래 된다면 부인과 초음파 검사후에 생리주기 조절을 고려해 보세요.","
          진호성 의사
        ",https://www.a-ha.io/questions/4e9a1b9431d0007cb4dcc49581c54a38?aha_term=%EC%83%9D%EB%A6%AC
4,"
      2023. 04. 20. 16:51
    ","
      생리 안 하는데 생리통이 있는 거 같아요
    ",자궁근종이 있고 마지막 생리한 지 보름 정도 됐는데 아랫배가 마치 생리하는 것처럼 싸하게 아파요. 생리를 하는 것도 아닌데 왜 생리통 같은 통증이 생길 수 있는 걸까요? ㅠㅠ,"안녕하세요. 진호성 의사입니다.자궁근종으로 인해 나타날 수 있는 증상은 다양한데, 흔히 생각할 수 있는 생리통, 생리과다, 부정출혈 외에도 자궁근종의 크기가 커지는 경우 빈뇨, 변비 등의 증상이 나타날 수 있고 근종이 척추 앞 쪽의 좌골신경을 압박해서 질문자님의 경우과 같이 통증을 유발할 수도 있죠.​특히 자궁근종의 크기가 4-5cm 이상으로 크거나 자궁내막에 인접하여 발생하는 점막하근종의 경우 통증과 출혈을 동반해 평소 일상생활에도 지장을 줄 뿐만 아니라 가임기 여성의 경우 임신에도 영향을 미칠 수 있어 경과를 지켜보기보다는 조기 치료를 하는 것이 좋습니다.증상이 지속되면 산부인과 내원하셔서 정확한 진료를 보시기 바랍니다. 아무쪼록 님의 빠른 쾌유를 기원하며, 답변이 조금이나마 도움되셨길 바랍니다. 감사합니다.","
      생리 안 하는데 생리통이 있는 거 같아요
    자궁근종이 있고 마지막 생리한 지 보름 정도 됐는데 아랫배가 마치 생리하는 것처럼 싸하게 아파요. 생리를 하는 것도 아닌데 왜 생리통 같은 통증이 생길 수 있는 걸까요? ㅠㅠ안녕하세요. 진호성 의사입니다.자궁근종으로 인해 나타날 수 있는 증상은 다양한데, 흔히 생각할 수 있는 생리통, 생리과다, 부정출혈 외에도 자궁근종의 크기가 커지는 경우 빈뇨, 변비 등의 증상이 나타날 수 있고 근종이 척추 앞 쪽의 좌골신경을 압박해서 질문자님의 경우과 같이 통증을 유발할 수도 있죠.​특히 자궁근종의 크기가 4-5cm 이상으로 크거나 자궁내막에 인접하여 발생하는 점막하근종의 경우 통증과 출혈을 동반해 평소 일상생활에도 지장을 줄 뿐만 아니라 가임기 여성의 경우 임신에도 영향을 미칠 수 있어 경과를 지켜보기보다는 조기 치료를 하는 것이 좋습니다.증상이 지속되면 산부인과 내원하셔서 정확한 진료를 보시기 바랍니다. 아무쪼록 님의 빠른 쾌유를 기원하며, 답변이 조금이나마 도움되셨길 바랍니다. 감사합니다.","
          진호성 의사
        ",https://www.a-ha.io/questions/401de30f714dccd090b89608fe69f925?aha_term=%EC%83%9D%EB%A6%AC
5,"
      2023. 04. 20. 11:44
    ","
      생리 끝나기 전에 피임약 먹어도 괜찮나요?
    ",지난달에 경구피임약 한 통을 다 먹고 마지막날 4일 정도 지나서 생리를 했어요다음 통을 일주일 후에 먹어야 하는데 그때까지 생리가 안 끝나는데 약을 복용해도 될까요?,안녕하세요. 진호성 의사입니다.28정짜리는 바로 이어서 드시고 21정 짜리는 생리와 무관하게 21일 복용 7일 휴약 하시고 드시면 됩니다.도움이 되셨기를 바랍니다. 감사합니다.,"
      생리 끝나기 전에 피임약 먹어도 괜찮나요?
    지난달에 경구피임약 한 통을 다 먹고 마지막날 4일 정도 지나서 생리를 했어요다음 통을 일주일 후에 먹어야 하는데 그때까지 생리가 안 끝나는데 약을 복용해도 될까요?안녕하세요. 진호성 의사입니다.28정짜리는 바로 이어서 드시고 21정 짜리는 생리와 무관하게 21일 복용 7일 휴약 하시고 드시면 됩니다.도움이 되셨기를 바랍니다. 감사합니다.","
          진호성 의사
        ",https://www.a-ha.io/questions/42d26fc7da6fa8d5b22ba1b92cc83a3e?aha_term=%EC%83%9D%EB%A6%AC
6,"
      2023. 04. 18. 00:19
    ","
      생리가 안되는 이유 쫌 알려주세요.
    ","생리는 이번년도 1월초쯤에 시작했구요.. 지금 54일째? 생리를 안합니다ㅜㅜ 다른 또래 애들보다 늦게 시작했구, 원래 생리 초에는 주기가 불규칙하다는건 알고있는데 이렇게까지 안하기도 하나요? 요즘 스트레스를 많이 받아서 그런걸까요..?",안녕하세요. 특별한두루미384입니다.스트레스 영향으로 생리가 늦어지거나 할수있다고 봅니다임신가능성이 아예 제로라면아마 기다리시면 나올것같긴한데요 저도 한달 건너뛰어본적이있어서요 그런데 너무 안한다 싶으면 병원가서 진료받아보시는것도추천합니다.,"
      생리가 안되는 이유 쫌 알려주세요.
    생리는 이번년도 1월초쯤에 시작했구요.. 지금 54일째? 생리를 안합니다ㅜㅜ 다른 또래 애들보다 늦게 시작했구, 원래 생리 초에는 주기가 불규칙하다는건 알고있는데 이렇게까지 안하기도 하나요? 요즘 스트레스를 많이 받아서 그런걸까요..?안녕하세요. 특별한두루미384입니다.스트레스 영향으로 생리가 늦어지거나 할수있다고 봅니다임신가능성이 아예 제로라면아마 기다리시면 나올것같긴한데요 저도 한달 건너뛰어본적이있어서요 그런데 너무 안한다 싶으면 병원가서 진료받아보시는것도추천합니다.","
          특별한두루미384
        ",https://www.a-ha.io/questions/4d01993c470d823394caa79abea25fe9?aha_term=%EC%83%9D%EB%A6%AC
7,"
      2023. 04. 17. 15:27
    ","
      생리 마지막날인데 검은 변이 나옵니다.
    ","생리 일주일 전부터 설사를 심하게 했었고, 현재는 생리 마지막 날인데도 생리 첫날인것처럼 복통이 심합니다.똥을 싸니 검은색 변이 나왔는데 생리중에는 일시적으로 이렇게 나올수도 있나요? ","(제가 아는 범위론) 생리와 검은색 변은 상관 관계가 없을 듯 합니다최근 드신 음식 / 약물 등이 원인이 아니라면 (ex: 선지국 , 철분제 등) 내과 방문하여 상담하시는 것이 안전할 듯 합니다. ","
      생리 마지막날인데 검은 변이 나옵니다.
    생리 일주일 전부터 설사를 심하게 했었고, 현재는 생리 마지막 날인데도 생리 첫날인것처럼 복통이 심합니다.똥을 싸니 검은색 변이 나왔는데 생리중에는 일시적으로 이렇게 나올수도 있나요? (제가 아는 범위론) 생리와 검은색 변은 상관 관계가 없을 듯 합니다최근 드신 음식 / 약물 등이 원인이 아니라면 (ex: 선지국 , 철분제 등) 내과 방문하여 상담하시는 것이 안전할 듯 합니다. ","
          임종한 의사
        ",https://www.a-ha.io/questions/4b8587df14e863fcb9d9a4f1c33039f2?aha_term=%EC%83%9D%EB%A6%AC
8,"
      2023. 04. 17. 14:35
    ","
      생리 마지막날인데 검은 변이 나옵니다.
    ","생리 일주일 전부터 설사를 심하게 했었고, 현재는 생리 마지막 날인데도 생리 첫날인것처럼 복통이 심합니다.똥을 싸니 검은색 변이 나왔는데 생리중에는 일시적으로 이렇게 나올수도 있나요? ","안녕하세요. 서민석 의사입니다.검은변이 나왔다는 것은 생리와 관련이 있는 것은 아니랍니다. 혹시 평소에 속쓰림이 있었다면 위장 출혈로 인해서 검은변이 나왔을 수 있답니다. 다만 실제 문제가 있는 검은변인지, 아니면 그냥 검게 보이는 변인지 구분이 필요해서 사진을 찍어서 병원에 가보시는 것을 권유드립니다. ","
      생리 마지막날인데 검은 변이 나옵니다.
    생리 일주일 전부터 설사를 심하게 했었고, 현재는 생리 마지막 날인데도 생리 첫날인것처럼 복통이 심합니다.똥을 싸니 검은색 변이 나왔는데 생리중에는 일시적으로 이렇게 나올수도 있나요? 안녕하세요. 서민석 의사입니다.검은변이 나왔다는 것은 생리와 관련이 있는 것은 아니랍니다. 혹시 평소에 속쓰림이 있었다면 위장 출혈로 인해서 검은변이 나왔을 수 있답니다. 다만 실제 문제가 있는 검은변인지, 아니면 그냥 검게 보이는 변인지 구분이 필요해서 사진을 찍어서 병원에 가보시는 것을 권유드립니다. ","
          서민석 의사
        ",https://www.a-ha.io/questions/4b8587df14e863fcb9d9a4f1c33039f2?aha_term=%EC%83%9D%EB%A6%AC
9,"
      2023. 04. 17. 14:30
    ","
      생리 마지막날인데 검은 변이 나옵니다.
    ","생리 일주일 전부터 설사를 심하게 했었고, 현재는 생리 마지막 날인데도 생리 첫날인것처럼 복통이 심합니다.똥을 싸니 검은색 변이 나왔는데 생리중에는 일시적으로 이렇게 나올수도 있나요? ",안녕하세요. 염진희 의사입니다.검은 변의 경우 월경과 연관이 있을 가능성은 높지 않습니다. 상부 위장관 출혈에 의한 증상일 수 있으니 소화기내과 방문하시어 진료보시는 것을 권유드립니다.,"
      생리 마지막날인데 검은 변이 나옵니다.
    생리 일주일 전부터 설사를 심하게 했었고, 현재는 생리 마지막 날인데도 생리 첫날인것처럼 복통이 심합니다.똥을 싸니 검은색 변이 나왔는데 생리중에는 일시적으로 이렇게 나올수도 있나요? 안녕하세요. 염진희 의사입니다.검은 변의 경우 월경과 연관이 있을 가능성은 높지 않습니다. 상부 위장관 출혈에 의한 증상일 수 있으니 소화기내과 방문하시어 진료보시는 것을 권유드립니다.","
          염진희 의사
        ",https://www.a-ha.io/questions/4b8587df14e863fcb9d9a4f1c33039f2?aha_term=%EC%83%9D%EB%A6%AC
