,date,question_title,question_detail,answer,text,author,url
0,"
      2023. 04. 18. 17:24
    ","
      생리대에도 유통기한이 있는 줄은 몰랐습니다. 최근 기부를 시작하면서 알게되었습니다.
    ",다양한 기부를 실천하고 싶어서 알아보던 중 생리대를 구입하지 못해서 여러가지 방법으로 처리하거나 오래된 생리대를 사용한다는 것을 보았습니다. 저도 여자인데 몰랐습니다. 생리대에 유통기한이 있었네요. 유통기한이 지난 생리대를 사용하게 되면 어떻게 되나요?대부분은 날짜가 있는줄 모르고 사용하는데 이것도 시정되어야 할 것 같습니다. 약품으로 보고 생리대에도 유통기한을 표시하는 것인가요?,"안녕하세요. 이경미 약사입니다.생리대를 만드는 원료가 화학제품으로 만드는 것과 천연제품으로나와 있는 것이 있습니다,유효기간이 있습니다.","
      생리대에도 유통기한이 있는 줄은 몰랐습니다. 최근 기부를 시작하면서 알게되었습니다.
    다양한 기부를 실천하고 싶어서 알아보던 중 생리대를 구입하지 못해서 여러가지 방법으로 처리하거나 오래된 생리대를 사용한다는 것을 보았습니다. 저도 여자인데 몰랐습니다. 생리대에 유통기한이 있었네요. 유통기한이 지난 생리대를 사용하게 되면 어떻게 되나요?대부분은 날짜가 있는줄 모르고 사용하는데 이것도 시정되어야 할 것 같습니다. 약품으로 보고 생리대에도 유통기한을 표시하는 것인가요?안녕하세요. 이경미 약사입니다.생리대를 만드는 원료가 화학제품으로 만드는 것과 천연제품으로나와 있는 것이 있습니다,유효기간이 있습니다.","
          이경미 약사
        ",https://www.a-ha.io/questions/44d58c223d685c1db394ef5fbca1e5e6?aha_term=%EC%83%9D%EB%A6%AC%EB%8C%80
1,"
      2023. 04. 17. 21:15
    ","
      생리대에도 유통기한이 있는 줄은 몰랐습니다. 최근 기부를 시작하면서 알게되었습니다.
    ",다양한 기부를 실천하고 싶어서 알아보던 중 생리대를 구입하지 못해서 여러가지 방법으로 처리하거나 오래된 생리대를 사용한다는 것을 보았습니다. 저도 여자인데 몰랐습니다. 생리대에 유통기한이 있었네요. 유통기한이 지난 생리대를 사용하게 되면 어떻게 되나요?대부분은 날짜가 있는줄 모르고 사용하는데 이것도 시정되어야 할 것 같습니다. 약품으로 보고 생리대에도 유통기한을 표시하는 것인가요?,안녕하세요. 송정은 약사입니다.유효기간이 경과한 생리대의 경우 멸균상태가 유지된다고 보기 어렵고 오염의 우려가 있기에 사용하지 않길 권장드립니다. ,"
      생리대에도 유통기한이 있는 줄은 몰랐습니다. 최근 기부를 시작하면서 알게되었습니다.
    다양한 기부를 실천하고 싶어서 알아보던 중 생리대를 구입하지 못해서 여러가지 방법으로 처리하거나 오래된 생리대를 사용한다는 것을 보았습니다. 저도 여자인데 몰랐습니다. 생리대에 유통기한이 있었네요. 유통기한이 지난 생리대를 사용하게 되면 어떻게 되나요?대부분은 날짜가 있는줄 모르고 사용하는데 이것도 시정되어야 할 것 같습니다. 약품으로 보고 생리대에도 유통기한을 표시하는 것인가요?안녕하세요. 송정은 약사입니다.유효기간이 경과한 생리대의 경우 멸균상태가 유지된다고 보기 어렵고 오염의 우려가 있기에 사용하지 않길 권장드립니다. ","
          송정은 약사
        ",https://www.a-ha.io/questions/44d58c223d685c1db394ef5fbca1e5e6?aha_term=%EC%83%9D%EB%A6%AC%EB%8C%80
2,"
      2023. 04. 17. 12:30
    ","
      생리대에도 유통기한이 있는 줄은 몰랐습니다. 최근 기부를 시작하면서 알게되었습니다.
    ",다양한 기부를 실천하고 싶어서 알아보던 중 생리대를 구입하지 못해서 여러가지 방법으로 처리하거나 오래된 생리대를 사용한다는 것을 보았습니다. 저도 여자인데 몰랐습니다. 생리대에 유통기한이 있었네요. 유통기한이 지난 생리대를 사용하게 되면 어떻게 되나요?대부분은 날짜가 있는줄 모르고 사용하는데 이것도 시정되어야 할 것 같습니다. 약품으로 보고 생리대에도 유통기한을 표시하는 것인가요?,"안녕하세요. 이민석 약사입니다.생리대는 살에 직접 닿기때문에 사용기한이 지난 생리대를 사용하면 알러지증상이 나타날 수 있습니다.답변이 도움되셨다면 ""좋아요"", ""추천"" 부탁드립니다.","
      생리대에도 유통기한이 있는 줄은 몰랐습니다. 최근 기부를 시작하면서 알게되었습니다.
    다양한 기부를 실천하고 싶어서 알아보던 중 생리대를 구입하지 못해서 여러가지 방법으로 처리하거나 오래된 생리대를 사용한다는 것을 보았습니다. 저도 여자인데 몰랐습니다. 생리대에 유통기한이 있었네요. 유통기한이 지난 생리대를 사용하게 되면 어떻게 되나요?대부분은 날짜가 있는줄 모르고 사용하는데 이것도 시정되어야 할 것 같습니다. 약품으로 보고 생리대에도 유통기한을 표시하는 것인가요?안녕하세요. 이민석 약사입니다.생리대는 살에 직접 닿기때문에 사용기한이 지난 생리대를 사용하면 알러지증상이 나타날 수 있습니다.답변이 도움되셨다면 ""좋아요"", ""추천"" 부탁드립니다.","
          이민석 약사
        ",https://www.a-ha.io/questions/44d58c223d685c1db394ef5fbca1e5e6?aha_term=%EC%83%9D%EB%A6%AC%EB%8C%80
3,"
      2023. 04. 17. 10:09
    ","
      생리대에도 유통기한이 있는 줄은 몰랐습니다. 최근 기부를 시작하면서 알게되었습니다.
    ",다양한 기부를 실천하고 싶어서 알아보던 중 생리대를 구입하지 못해서 여러가지 방법으로 처리하거나 오래된 생리대를 사용한다는 것을 보았습니다. 저도 여자인데 몰랐습니다. 생리대에 유통기한이 있었네요. 유통기한이 지난 생리대를 사용하게 되면 어떻게 되나요?대부분은 날짜가 있는줄 모르고 사용하는데 이것도 시정되어야 할 것 같습니다. 약품으로 보고 생리대에도 유통기한을 표시하는 것인가요?,안녕하세요. 최동욱 약사입니다.변질되었을 가능성도 있고 피부염같은 증상을 유발할 가능성도 있겠습니다. 그냥 버리시는게 좋겠습니다.,"
      생리대에도 유통기한이 있는 줄은 몰랐습니다. 최근 기부를 시작하면서 알게되었습니다.
    다양한 기부를 실천하고 싶어서 알아보던 중 생리대를 구입하지 못해서 여러가지 방법으로 처리하거나 오래된 생리대를 사용한다는 것을 보았습니다. 저도 여자인데 몰랐습니다. 생리대에 유통기한이 있었네요. 유통기한이 지난 생리대를 사용하게 되면 어떻게 되나요?대부분은 날짜가 있는줄 모르고 사용하는데 이것도 시정되어야 할 것 같습니다. 약품으로 보고 생리대에도 유통기한을 표시하는 것인가요?안녕하세요. 최동욱 약사입니다.변질되었을 가능성도 있고 피부염같은 증상을 유발할 가능성도 있겠습니다. 그냥 버리시는게 좋겠습니다.","
          최동욱 약사
        ",https://www.a-ha.io/questions/44d58c223d685c1db394ef5fbca1e5e6?aha_term=%EC%83%9D%EB%A6%AC%EB%8C%80
4,"
      2023. 04. 17. 09:46
    ","
      생리대에도 유통기한이 있는 줄은 몰랐습니다. 최근 기부를 시작하면서 알게되었습니다.
    ",다양한 기부를 실천하고 싶어서 알아보던 중 생리대를 구입하지 못해서 여러가지 방법으로 처리하거나 오래된 생리대를 사용한다는 것을 보았습니다. 저도 여자인데 몰랐습니다. 생리대에 유통기한이 있었네요. 유통기한이 지난 생리대를 사용하게 되면 어떻게 되나요?대부분은 날짜가 있는줄 모르고 사용하는데 이것도 시정되어야 할 것 같습니다. 약품으로 보고 생리대에도 유통기한을 표시하는 것인가요?,안녕하세요. 심주영 약사입니다.생리대는 의약외품이기때문에 유통기한을 잘 지켜서 쓰셔야해요.알러지나 감염으로 이어질 수 있어요.항상 건강하시길바라며 도움이 되셨다면 좋아요 눌러주세요!,"
      생리대에도 유통기한이 있는 줄은 몰랐습니다. 최근 기부를 시작하면서 알게되었습니다.
    다양한 기부를 실천하고 싶어서 알아보던 중 생리대를 구입하지 못해서 여러가지 방법으로 처리하거나 오래된 생리대를 사용한다는 것을 보았습니다. 저도 여자인데 몰랐습니다. 생리대에 유통기한이 있었네요. 유통기한이 지난 생리대를 사용하게 되면 어떻게 되나요?대부분은 날짜가 있는줄 모르고 사용하는데 이것도 시정되어야 할 것 같습니다. 약품으로 보고 생리대에도 유통기한을 표시하는 것인가요?안녕하세요. 심주영 약사입니다.생리대는 의약외품이기때문에 유통기한을 잘 지켜서 쓰셔야해요.알러지나 감염으로 이어질 수 있어요.항상 건강하시길바라며 도움이 되셨다면 좋아요 눌러주세요!","
          심주영 약사
        ",https://www.a-ha.io/questions/44d58c223d685c1db394ef5fbca1e5e6?aha_term=%EC%83%9D%EB%A6%AC%EB%8C%80
5,"
      2023. 04. 17. 06:40
    ","
      생리대 유통기한 지난거 사용해도 될까요?
    ",생리대 미리 사재기해둔기 유통기한 생각도 없이 사용하다보니 문득 생각이 드는데..유통기한이 있더라구요~ 혹시라도 유통기한 지난거 사용하면 몸애 해로울까요???,안녕하세요. 서민석 의사입니다.피부 중에서도 예민한 부위에 닿는 것이라서 조금 조심스럽기는 합니다. 다만 제조후 오래되었다고 해도 성능이 다소 떨어지는 것 외에는 인체에 큰 이상은 없을것 같네요.,"
      생리대 유통기한 지난거 사용해도 될까요?
    생리대 미리 사재기해둔기 유통기한 생각도 없이 사용하다보니 문득 생각이 드는데..유통기한이 있더라구요~ 혹시라도 유통기한 지난거 사용하면 몸애 해로울까요???안녕하세요. 서민석 의사입니다.피부 중에서도 예민한 부위에 닿는 것이라서 조금 조심스럽기는 합니다. 다만 제조후 오래되었다고 해도 성능이 다소 떨어지는 것 외에는 인체에 큰 이상은 없을것 같네요.","
          서민석 의사
        ",https://www.a-ha.io/questions/4d63723aa29bff4f8037dc4c9a22aba0?aha_term=%EC%83%9D%EB%A6%AC%EB%8C%80
6,"
      2023. 03. 13. 12:54
    ","
      생리대는 어디에 버려야 하나요??
    ",안녕하세요 질문그대로 인데요 혹시 여성 생리대같은건 일반쓰레기에 버려야하는지 아니면 다른처리방법이 따로있는지 질문드려요,안녕하세요. 1892리버풀의심장스티븐제라드입니다. 생리대는 일반쓰레기입니다. 종량제봉투에 담아서 버리시면됩니다.,"
      생리대는 어디에 버려야 하나요??
    안녕하세요 질문그대로 인데요 혹시 여성 생리대같은건 일반쓰레기에 버려야하는지 아니면 다른처리방법이 따로있는지 질문드려요안녕하세요. 1892리버풀의심장스티븐제라드입니다. 생리대는 일반쓰레기입니다. 종량제봉투에 담아서 버리시면됩니다.","
          1892리버풀의심장스티븐제라드
        ",https://www.a-ha.io/questions/44f4447e21ffed4da66d33ac030d4566?aha_term=%EC%83%9D%EB%A6%AC%EB%8C%80
7,"
      2023. 03. 13. 12:42
    ","
      생리대는 어디에 버려야 하나요??
    ",안녕하세요 질문그대로 인데요 혹시 여성 생리대같은건 일반쓰레기에 버려야하는지 아니면 다른처리방법이 따로있는지 질문드려요,안녕하세요. 영악한사슴벌레139입니다.분리수거가 안되기에종량제 봉투에 버리시면 됩니다.꼭 지켜주세요 감사합니다.,"
      생리대는 어디에 버려야 하나요??
    안녕하세요 질문그대로 인데요 혹시 여성 생리대같은건 일반쓰레기에 버려야하는지 아니면 다른처리방법이 따로있는지 질문드려요안녕하세요. 영악한사슴벌레139입니다.분리수거가 안되기에종량제 봉투에 버리시면 됩니다.꼭 지켜주세요 감사합니다.","
          영악한사슴벌레139
        ",https://www.a-ha.io/questions/44f4447e21ffed4da66d33ac030d4566?aha_term=%EC%83%9D%EB%A6%AC%EB%8C%80
8,"
      2023. 03. 13. 12:38
    ","
      생리대는 어디에 버려야 하나요??
    ",안녕하세요 질문그대로 인데요 혹시 여성 생리대같은건 일반쓰레기에 버려야하는지 아니면 다른처리방법이 따로있는지 질문드려요,안녕하세요. 잘생긴뿔영양245입니다. 종량제 봉투에 버리시면 됩니다. 요즘 공동주택에서 변기에 생리대나아이 기저귀를 버리는 경우가 있는데...그럼 배수관이 막혀서 큰 비용이 발생합니다,"
      생리대는 어디에 버려야 하나요??
    안녕하세요 질문그대로 인데요 혹시 여성 생리대같은건 일반쓰레기에 버려야하는지 아니면 다른처리방법이 따로있는지 질문드려요안녕하세요. 잘생긴뿔영양245입니다. 종량제 봉투에 버리시면 됩니다. 요즘 공동주택에서 변기에 생리대나아이 기저귀를 버리는 경우가 있는데...그럼 배수관이 막혀서 큰 비용이 발생합니다","
          잘생긴뿔영양245
        ",https://www.a-ha.io/questions/44f4447e21ffed4da66d33ac030d4566?aha_term=%EC%83%9D%EB%A6%AC%EB%8C%80
9,"
      2023. 03. 05. 19:11
    ","
      생리대도 유통기한이 있나요??
    ",여태까지 모르고 살아왔는데 생리대도 유통기한이 있었나요? 유통기한이 있다면 통상적으로 며칠~몇달인가요? 궁금합니다. 알려주세요!,"안녕하세요. 투명한숲제비211입니다.생리대에는 유통기한이 있습니다. 생리대는 일반적으로 3-5년 정도의 유통기한을 가지고 있으며, 유통기한이 지나면 사용하지 않는 것이 좋습니다. 유통기한이 지난 생리대는 피부에 자극을 줄 수 있고, 성분의 효능이 감소하여 생리혈을 충분히 흡수하지 못할 수도 있습니다. 따라서, 만약 생리대에 유통기한이 표시되어 있지 않다면, 구매한 날짜를 기록해 두고 3년 내에 사용하도록 하는 것이 좋습니다.","
      생리대도 유통기한이 있나요??
    여태까지 모르고 살아왔는데 생리대도 유통기한이 있었나요? 유통기한이 있다면 통상적으로 며칠~몇달인가요? 궁금합니다. 알려주세요!안녕하세요. 투명한숲제비211입니다.생리대에는 유통기한이 있습니다. 생리대는 일반적으로 3-5년 정도의 유통기한을 가지고 있으며, 유통기한이 지나면 사용하지 않는 것이 좋습니다. 유통기한이 지난 생리대는 피부에 자극을 줄 수 있고, 성분의 효능이 감소하여 생리혈을 충분히 흡수하지 못할 수도 있습니다. 따라서, 만약 생리대에 유통기한이 표시되어 있지 않다면, 구매한 날짜를 기록해 두고 3년 내에 사용하도록 하는 것이 좋습니다.","
          투명한숲제비211
        ",https://www.a-ha.io/questions/4d95e597e6cc9bdda35d0c56dcb8b02e?aha_term=%EC%83%9D%EB%A6%AC%EB%8C%80
