,date,question_title,question_detail,answer,text,author,url
0,"
      2023. 04. 23. 21:48
    ","
      임신중 실업급여 받았는데 부정수급이될까요?
    ","임신초기부터 실업급여를 받고 있는데, 진짜 취업을 목적으로 실업급여신청한거라 딱히 문제되는지 모르고 임신사실여부 알리지 않았어요 그런데 찾아보니 부정수급이 될수도 있다는 말이 있어서 여쭤봐요ㅠㅠ 실업급여 2회차 남겨뒀는데 다음달에 출산을 해요이번달은 실업급여 받으려면 방문해야하는데 만삭이라 임산부인게 티나는데 가면 임신사실 숨기고 실업급여 신청했다고 그동안 받은거 다 부정수급으로 될까봐 걱정이에요..아니면 나머지 2회차 그냥 신청안하고 안받아도 되는걸까요..?",안녕하세요. 이종영 노무사입니다.임신 중이라고 하더라도 실업급여 수급자격이 별도로 제한되는 것은 아닙니다. 실업급여 수급에 대하여는 관할 고용센터와 협의하는 것이 바람직합니다.,"
      임신중 실업급여 받았는데 부정수급이될까요?
    임신초기부터 실업급여를 받고 있는데, 진짜 취업을 목적으로 실업급여신청한거라 딱히 문제되는지 모르고 임신사실여부 알리지 않았어요 그런데 찾아보니 부정수급이 될수도 있다는 말이 있어서 여쭤봐요ㅠㅠ 실업급여 2회차 남겨뒀는데 다음달에 출산을 해요이번달은 실업급여 받으려면 방문해야하는데 만삭이라 임산부인게 티나는데 가면 임신사실 숨기고 실업급여 신청했다고 그동안 받은거 다 부정수급으로 될까봐 걱정이에요..아니면 나머지 2회차 그냥 신청안하고 안받아도 되는걸까요..?안녕하세요. 이종영 노무사입니다.임신 중이라고 하더라도 실업급여 수급자격이 별도로 제한되는 것은 아닙니다. 실업급여 수급에 대하여는 관할 고용센터와 협의하는 것이 바람직합니다.","
          이종영 노무사
        ",https://www.a-ha.io/questions/46cc9e8cd40b733e803f60a32cabee3e?aha_term=%EC%9E%84%EC%8B%A0
1,"
      2023. 04. 23. 15:43
    ","
      임신중 실업급여 받았는데 부정수급이될까요?
    ","임신초기부터 실업급여를 받고 있는데, 진짜 취업을 목적으로 실업급여신청한거라 딱히 문제되는지 모르고 임신사실여부 알리지 않았어요 그런데 찾아보니 부정수급이 될수도 있다는 말이 있어서 여쭤봐요ㅠㅠ 실업급여 2회차 남겨뒀는데 다음달에 출산을 해요이번달은 실업급여 받으려면 방문해야하는데 만삭이라 임산부인게 티나는데 가면 임신사실 숨기고 실업급여 신청했다고 그동안 받은거 다 부정수급으로 될까봐 걱정이에요..아니면 나머지 2회차 그냥 신청안하고 안받아도 되는걸까요..?",안녕하세요? 아하(Aha) 노무상담 분야 전문가 김호병 노무사입니다.질문하신 내용에 대하여 아래와 같이 답변드립니다.임신 초기 실업급여 받은 것만으로 부정수급에 해당하지는 않습니다.더 이상 구직활동이 곤란하면 상병급여를 신청할 수 있습니다.,"
      임신중 실업급여 받았는데 부정수급이될까요?
    임신초기부터 실업급여를 받고 있는데, 진짜 취업을 목적으로 실업급여신청한거라 딱히 문제되는지 모르고 임신사실여부 알리지 않았어요 그런데 찾아보니 부정수급이 될수도 있다는 말이 있어서 여쭤봐요ㅠㅠ 실업급여 2회차 남겨뒀는데 다음달에 출산을 해요이번달은 실업급여 받으려면 방문해야하는데 만삭이라 임산부인게 티나는데 가면 임신사실 숨기고 실업급여 신청했다고 그동안 받은거 다 부정수급으로 될까봐 걱정이에요..아니면 나머지 2회차 그냥 신청안하고 안받아도 되는걸까요..?안녕하세요? 아하(Aha) 노무상담 분야 전문가 김호병 노무사입니다.질문하신 내용에 대하여 아래와 같이 답변드립니다.임신 초기 실업급여 받은 것만으로 부정수급에 해당하지는 않습니다.더 이상 구직활동이 곤란하면 상병급여를 신청할 수 있습니다.","
          김호병 노무사
        ",https://www.a-ha.io/questions/46cc9e8cd40b733e803f60a32cabee3e?aha_term=%EC%9E%84%EC%8B%A0
2,"
      2023. 04. 22. 22:48
    ","
      임신중 실업급여 받았는데 부정수급이될까요?
    ","임신초기부터 실업급여를 받고 있는데, 진짜 취업을 목적으로 실업급여신청한거라 딱히 문제되는지 모르고 임신사실여부 알리지 않았어요 그런데 찾아보니 부정수급이 될수도 있다는 말이 있어서 여쭤봐요ㅠㅠ 실업급여 2회차 남겨뒀는데 다음달에 출산을 해요이번달은 실업급여 받으려면 방문해야하는데 만삭이라 임산부인게 티나는데 가면 임신사실 숨기고 실업급여 신청했다고 그동안 받은거 다 부정수급으로 될까봐 걱정이에요..아니면 나머지 2회차 그냥 신청안하고 안받아도 되는걸까요..?",안녕하세요. 이기중 노무사입니다.임신중인 사람이 취업하는 게 불법도 아니고 부정수급이 되지 않습니다. 어디서 들은 말인지 모르겠네요.,"
      임신중 실업급여 받았는데 부정수급이될까요?
    임신초기부터 실업급여를 받고 있는데, 진짜 취업을 목적으로 실업급여신청한거라 딱히 문제되는지 모르고 임신사실여부 알리지 않았어요 그런데 찾아보니 부정수급이 될수도 있다는 말이 있어서 여쭤봐요ㅠㅠ 실업급여 2회차 남겨뒀는데 다음달에 출산을 해요이번달은 실업급여 받으려면 방문해야하는데 만삭이라 임산부인게 티나는데 가면 임신사실 숨기고 실업급여 신청했다고 그동안 받은거 다 부정수급으로 될까봐 걱정이에요..아니면 나머지 2회차 그냥 신청안하고 안받아도 되는걸까요..?안녕하세요. 이기중 노무사입니다.임신중인 사람이 취업하는 게 불법도 아니고 부정수급이 되지 않습니다. 어디서 들은 말인지 모르겠네요.","
          이기중 노무사
        ",https://www.a-ha.io/questions/46cc9e8cd40b733e803f60a32cabee3e?aha_term=%EC%9E%84%EC%8B%A0
3,"
      2023. 04. 22. 13:28
    ","
      임신중 실업급여 받았는데 부정수급이될까요?
    ","임신초기부터 실업급여를 받고 있는데, 진짜 취업을 목적으로 실업급여신청한거라 딱히 문제되는지 모르고 임신사실여부 알리지 않았어요 그런데 찾아보니 부정수급이 될수도 있다는 말이 있어서 여쭤봐요ㅠㅠ 실업급여 2회차 남겨뒀는데 다음달에 출산을 해요이번달은 실업급여 받으려면 방문해야하는데 만삭이라 임산부인게 티나는데 가면 임신사실 숨기고 실업급여 신청했다고 그동안 받은거 다 부정수급으로 될까봐 걱정이에요..아니면 나머지 2회차 그냥 신청안하고 안받아도 되는걸까요..?",안녕하세요. 정동현 노무사입니다.임신중에도 구직활동이 가능하다면 실업급여 수급자체는 가능합니다. 처음부터 임신사실을 이야기하지 않았다고 하더라도실제 구직활동이 가능한 상태에서 구직활동을 진행하여 실업급여를 받았다면 부정수급에 따른 환수문제는 없을걸로 보입니다.감사합니다. ,"
      임신중 실업급여 받았는데 부정수급이될까요?
    임신초기부터 실업급여를 받고 있는데, 진짜 취업을 목적으로 실업급여신청한거라 딱히 문제되는지 모르고 임신사실여부 알리지 않았어요 그런데 찾아보니 부정수급이 될수도 있다는 말이 있어서 여쭤봐요ㅠㅠ 실업급여 2회차 남겨뒀는데 다음달에 출산을 해요이번달은 실업급여 받으려면 방문해야하는데 만삭이라 임산부인게 티나는데 가면 임신사실 숨기고 실업급여 신청했다고 그동안 받은거 다 부정수급으로 될까봐 걱정이에요..아니면 나머지 2회차 그냥 신청안하고 안받아도 되는걸까요..?안녕하세요. 정동현 노무사입니다.임신중에도 구직활동이 가능하다면 실업급여 수급자체는 가능합니다. 처음부터 임신사실을 이야기하지 않았다고 하더라도실제 구직활동이 가능한 상태에서 구직활동을 진행하여 실업급여를 받았다면 부정수급에 따른 환수문제는 없을걸로 보입니다.감사합니다. ","
          정동현 노무사
        ",https://www.a-ha.io/questions/46cc9e8cd40b733e803f60a32cabee3e?aha_term=%EC%9E%84%EC%8B%A0
4,"
      2023. 04. 22. 07:46
    ","
      임신중 실업급여 받았는데 부정수급이될까요?
    ","임신초기부터 실업급여를 받고 있는데, 진짜 취업을 목적으로 실업급여신청한거라 딱히 문제되는지 모르고 임신사실여부 알리지 않았어요 그런데 찾아보니 부정수급이 될수도 있다는 말이 있어서 여쭤봐요ㅠㅠ 실업급여 2회차 남겨뒀는데 다음달에 출산을 해요이번달은 실업급여 받으려면 방문해야하는데 만삭이라 임산부인게 티나는데 가면 임신사실 숨기고 실업급여 신청했다고 그동안 받은거 다 부정수급으로 될까봐 걱정이에요..아니면 나머지 2회차 그냥 신청안하고 안받아도 되는걸까요..?","안녕하세요. 이승호 노무사입니다.실업급여는 취업을 위한 구직활동을 위해 지급하는 것이므로 질병이나 부상,  임신, 출산등으로 구직활동이 불가한 경우에는 그 기간에는 지급이 불가합니다. 질문자의 경우에는 수급기간 연기신청을 하시면 됩니다.","
      임신중 실업급여 받았는데 부정수급이될까요?
    임신초기부터 실업급여를 받고 있는데, 진짜 취업을 목적으로 실업급여신청한거라 딱히 문제되는지 모르고 임신사실여부 알리지 않았어요 그런데 찾아보니 부정수급이 될수도 있다는 말이 있어서 여쭤봐요ㅠㅠ 실업급여 2회차 남겨뒀는데 다음달에 출산을 해요이번달은 실업급여 받으려면 방문해야하는데 만삭이라 임산부인게 티나는데 가면 임신사실 숨기고 실업급여 신청했다고 그동안 받은거 다 부정수급으로 될까봐 걱정이에요..아니면 나머지 2회차 그냥 신청안하고 안받아도 되는걸까요..?안녕하세요. 이승호 노무사입니다.실업급여는 취업을 위한 구직활동을 위해 지급하는 것이므로 질병이나 부상,  임신, 출산등으로 구직활동이 불가한 경우에는 그 기간에는 지급이 불가합니다. 질문자의 경우에는 수급기간 연기신청을 하시면 됩니다.","
          이승호 노무사
        ",https://www.a-ha.io/questions/46cc9e8cd40b733e803f60a32cabee3e?aha_term=%EC%9E%84%EC%8B%A0
5,"
      2023. 04. 21. 22:50
    ","
      임신한 퇴행성 디스크 환자 수면 자세 어떻게 자는 것이 좋을까요?
    ",임신 2개월차입니다.저는 5-6번 퇴행성 디스크가 상당히 진행되서 디스크가 사실상 거의 없는 상태에요.임신 전에도 직장에서 오래 업무본 날은 허리가 좀 아팠엇는데요. 약 먹을 정돈 아니라 찜질하고 참았어요.임신하고 지금 종종 허리가 아픈데 아직은 아주 심하진 않아요. 제 걱정은 배가 불러오면 허리 때문에 잠을 잘 잘 수 있을까에요ㅠ저는 옆으로 누워자면 허리가 배로 아파집니다. 가만히 정자세로 누워자야 허리가 덜 아프더라구요.근데 중기쯤 배가 불러오면 정자세로 잘 수 없고 산모와 아이에게도 좋지 않다고 하더라구요ㅠ어떻게 극복이 가능할까요.. 막막하네요.,안녕하세요. 김경태 의사입니다.정자세로 자는게 힘들다면 자세를 자주 바꾸어주는 수밖에 없습니다.어느정도 기간이 지나면서 호전되길 바래야합니다.,"
      임신한 퇴행성 디스크 환자 수면 자세 어떻게 자는 것이 좋을까요?
    임신 2개월차입니다.저는 5-6번 퇴행성 디스크가 상당히 진행되서 디스크가 사실상 거의 없는 상태에요.임신 전에도 직장에서 오래 업무본 날은 허리가 좀 아팠엇는데요. 약 먹을 정돈 아니라 찜질하고 참았어요.임신하고 지금 종종 허리가 아픈데 아직은 아주 심하진 않아요. 제 걱정은 배가 불러오면 허리 때문에 잠을 잘 잘 수 있을까에요ㅠ저는 옆으로 누워자면 허리가 배로 아파집니다. 가만히 정자세로 누워자야 허리가 덜 아프더라구요.근데 중기쯤 배가 불러오면 정자세로 잘 수 없고 산모와 아이에게도 좋지 않다고 하더라구요ㅠ어떻게 극복이 가능할까요.. 막막하네요.안녕하세요. 김경태 의사입니다.정자세로 자는게 힘들다면 자세를 자주 바꾸어주는 수밖에 없습니다.어느정도 기간이 지나면서 호전되길 바래야합니다.","
          김경태 의사
        ",https://www.a-ha.io/questions/4c3a70e9902727e9b04b09377ff99ccf?aha_term=%EC%9E%84%EC%8B%A0
6,"
      2023. 04. 21. 13:29
    ","
      임신 중에 섭취하면 좋은 음식엔 어떤 것들이 있나요?
    ",임신 중에 섭취하면 좋은 음식에는 어떤 것들이 있는지 궁금합니다. 그런 음식을 섭취하면 어떻게 좋은지도 함께 설명해주시면 감사하겠습니다. 또 반대로 임신 중에는 섭취하지 않는게 좋은 음식엔 어떤게 있나요?,안녕하세요. 김보안 영양전문가입니다.임산부가 되면 몸 속에 엽산이 부족 하게 됩니다. 그래서 엽산 보충은 해 주셔야되는데 그 역사는 시금치나 아웃 근대에 많이 들어 있으며단백질이 부족하기 때문에 두부나 우유 우유로 가공한 제품들 그리고 생선 종류를 많이 드시는 것이 좋습니다.  ,"
      임신 중에 섭취하면 좋은 음식엔 어떤 것들이 있나요?
    임신 중에 섭취하면 좋은 음식에는 어떤 것들이 있는지 궁금합니다. 그런 음식을 섭취하면 어떻게 좋은지도 함께 설명해주시면 감사하겠습니다. 또 반대로 임신 중에는 섭취하지 않는게 좋은 음식엔 어떤게 있나요?안녕하세요. 김보안 영양전문가입니다.임산부가 되면 몸 속에 엽산이 부족 하게 됩니다. 그래서 엽산 보충은 해 주셔야되는데 그 역사는 시금치나 아웃 근대에 많이 들어 있으며단백질이 부족하기 때문에 두부나 우유 우유로 가공한 제품들 그리고 생선 종류를 많이 드시는 것이 좋습니다.  ","
          김보안 영양전문가
        ",https://www.a-ha.io/questions/474066c4422fc8d099ea568e77dd54dc?aha_term=%EC%9E%84%EC%8B%A0
7,"
      2023. 04. 21. 12:26
    ","
      임신 중에 섭취하면 좋은 음식엔 어떤 것들이 있나요?
    ",임신 중에 섭취하면 좋은 음식에는 어떤 것들이 있는지 궁금합니다. 그런 음식을 섭취하면 어떻게 좋은지도 함께 설명해주시면 감사하겠습니다. 또 반대로 임신 중에는 섭취하지 않는게 좋은 음식엔 어떤게 있나요?,"안녕하세요. 류호연 영양사입니다.임산부가 먹으면 좋은 음식고기와 어류 : 식물성 단백질 외에도 동물성 단백질을 충분히 섭취할 수 있도록 고기나 어류를 포함한 다양한 단백질을 먹는 것이 좋습니다. 그러나 안심하고 먹을 수 있는 신선한 고기와 어류를 선택하고, 반드시 충분히 익혀 섭취해야 합니다.채소와 과일 : 다양한 종류의 채소와 과일을 섭취하여 필요한 영양소를 다양하게 공급받는 것이 좋습니다. 특히 비타민, 미네랄, 식이 섬유 등이 풍부한 색깔이 다양한 채소와 과일을 섭취하는 것이 좋습니다.난류 : 난류에는 고단백, 고지질, 비타민, 미네랄, 오메가-3 지방산 등이 풍부하게 들어있어 임신 중에 중요한 영양소를 공급해주는 좋은 음식입니다. 반드시 충분히 익혀 먹어야 합니다.견과류 : 아몬드, 호두, 땅콩 등의 견과류에는 좋은 지방과 단백질, 미네랄, 비타민 등이 풍부하게 들어있어 임신 중에 영양소를 공급받는 좋은 음식입니다.우유 및 유제품 : 칼슘, 단백질, 비타민 등이 풍부한 우유 및 유제품을 충분히 섭취하여 뼈와 치아의 건강을 유지하는 것이 좋습니다. 단, 우유 및 유제품을 소화하기 어렵다면 대체식품을 고려해야 합니다.임산부가 먹으면 안되는 음식익지 않은 고기와 생선 : 익지 않은 고기와 생선에는 세균이나 기생충이 존재할 수 있어 임신 중에는 생선과 고기를 충분히 익혀 먹어야 합니다.과도한 카페인 : 과도한 카페인 섭취는 임신 중에는 피하는 것이 좋습니다. 카페인은 태아의 심장 및 중추신경계에 영향을 줄 수 있기 때문입니다. 따라서 커피, 차, 콜라, 초콜릿 등 카페인이 함유된 음식 및 음료를 과도하게 섭취하지 않도록 주의해야 합니다.음식안전에 주의 : 임신 중에는 음식안전에 더욱 주의해야 합니다. 조개, 굴, 생새우와 같이 해산물은 생장환경이 다양하므로 바이러스나 세균이 함유될 수 있으며, 임신 중에는 생선의 중금속 노출도 주의해야 합니다. 따라서 신선한 음식을 선택하고 잘 익혀 먹어야 합니다.자극적인 음식 : 매운 음식이나 과도한 양념, 조미료, 유가 함유된 음식은 소화에 불리하고 위장에 부담을 줄 수 있으므로, 임신 중에는 적절한 양념과 조리법을 사용하는 것이 좋습니다.유해한 음식 : 생선의 대형 포유동물(상어, 오징어, 광어 등)에는 고농도의 수은이 존재하여 임신 중에는 섭취를 피해야 합니다. 또한 낙지, 거위, 오리, 외부의 자극을 받는 과일이나 채소, 육류 등 유해한 물질이 함유된 음식은 피하는 것이 좋습니다.","
      임신 중에 섭취하면 좋은 음식엔 어떤 것들이 있나요?
    임신 중에 섭취하면 좋은 음식에는 어떤 것들이 있는지 궁금합니다. 그런 음식을 섭취하면 어떻게 좋은지도 함께 설명해주시면 감사하겠습니다. 또 반대로 임신 중에는 섭취하지 않는게 좋은 음식엔 어떤게 있나요?안녕하세요. 류호연 영양사입니다.임산부가 먹으면 좋은 음식고기와 어류 : 식물성 단백질 외에도 동물성 단백질을 충분히 섭취할 수 있도록 고기나 어류를 포함한 다양한 단백질을 먹는 것이 좋습니다. 그러나 안심하고 먹을 수 있는 신선한 고기와 어류를 선택하고, 반드시 충분히 익혀 섭취해야 합니다.채소와 과일 : 다양한 종류의 채소와 과일을 섭취하여 필요한 영양소를 다양하게 공급받는 것이 좋습니다. 특히 비타민, 미네랄, 식이 섬유 등이 풍부한 색깔이 다양한 채소와 과일을 섭취하는 것이 좋습니다.난류 : 난류에는 고단백, 고지질, 비타민, 미네랄, 오메가-3 지방산 등이 풍부하게 들어있어 임신 중에 중요한 영양소를 공급해주는 좋은 음식입니다. 반드시 충분히 익혀 먹어야 합니다.견과류 : 아몬드, 호두, 땅콩 등의 견과류에는 좋은 지방과 단백질, 미네랄, 비타민 등이 풍부하게 들어있어 임신 중에 영양소를 공급받는 좋은 음식입니다.우유 및 유제품 : 칼슘, 단백질, 비타민 등이 풍부한 우유 및 유제품을 충분히 섭취하여 뼈와 치아의 건강을 유지하는 것이 좋습니다. 단, 우유 및 유제품을 소화하기 어렵다면 대체식품을 고려해야 합니다.임산부가 먹으면 안되는 음식익지 않은 고기와 생선 : 익지 않은 고기와 생선에는 세균이나 기생충이 존재할 수 있어 임신 중에는 생선과 고기를 충분히 익혀 먹어야 합니다.과도한 카페인 : 과도한 카페인 섭취는 임신 중에는 피하는 것이 좋습니다. 카페인은 태아의 심장 및 중추신경계에 영향을 줄 수 있기 때문입니다. 따라서 커피, 차, 콜라, 초콜릿 등 카페인이 함유된 음식 및 음료를 과도하게 섭취하지 않도록 주의해야 합니다.음식안전에 주의 : 임신 중에는 음식안전에 더욱 주의해야 합니다. 조개, 굴, 생새우와 같이 해산물은 생장환경이 다양하므로 바이러스나 세균이 함유될 수 있으며, 임신 중에는 생선의 중금속 노출도 주의해야 합니다. 따라서 신선한 음식을 선택하고 잘 익혀 먹어야 합니다.자극적인 음식 : 매운 음식이나 과도한 양념, 조미료, 유가 함유된 음식은 소화에 불리하고 위장에 부담을 줄 수 있으므로, 임신 중에는 적절한 양념과 조리법을 사용하는 것이 좋습니다.유해한 음식 : 생선의 대형 포유동물(상어, 오징어, 광어 등)에는 고농도의 수은이 존재하여 임신 중에는 섭취를 피해야 합니다. 또한 낙지, 거위, 오리, 외부의 자극을 받는 과일이나 채소, 육류 등 유해한 물질이 함유된 음식은 피하는 것이 좋습니다.","
          류호연 영양사
        ",https://www.a-ha.io/questions/474066c4422fc8d099ea568e77dd54dc?aha_term=%EC%9E%84%EC%8B%A0
8,"
      2023. 04. 21. 11:05
    ","
      임신 중에 섭취하면 좋은 음식엔 어떤 것들이 있나요?
    ",임신 중에 섭취하면 좋은 음식에는 어떤 것들이 있는지 궁금합니다. 그런 음식을 섭취하면 어떻게 좋은지도 함께 설명해주시면 감사하겠습니다. 또 반대로 임신 중에는 섭취하지 않는게 좋은 음식엔 어떤게 있나요?,"안녕하세요. 임신 중에는 영양분 섭취가 매우 중요합니다. 단백질: 양념없이 구운 닭가슴살, 생선, 콩, 두부, 견과류 등의 단백질을 많이 포함한 식품이 좋습니다. 철분: 빨간 고기, 달걀, 아몬드, 시금치, 렌즈콩, 콩나물 등 철분을 많이 포함한 음식을 추천합니다. 엽산: 아스파라거스, 브로콜리, 시금치, 파프리카, 검은 콩, 땅콩, 레바다 등의 엽산을 많이 포함한 음식을 먹으세요.칼슘: 요거트, 우유, 치즈, 두부, 녹색 잎 채소 등 칼슘을 많이 포함한 음식을 먹으세요.오메가-3 지방산: 연어, 참치, 고등어, 마른 열매, 아몬드 등 오메가-3 지방산을 많이 포함한 음식이 도움 됩니다. 또한, 임신 중에는 과일, 채소, 전분류 식품, 전분이 적은 곡류 등 다양한 식품군을 균형 있게 먹는 것이 좋습니다. 임신 중에는 알코올, 카페인, 자극적인 음식 등은 피하는 것이 좋습니다. 또한, 음식을 조리할 때 손질과 보관에 특별히 신경써서 식중독 예방에 주의해야 합니다.","
      임신 중에 섭취하면 좋은 음식엔 어떤 것들이 있나요?
    임신 중에 섭취하면 좋은 음식에는 어떤 것들이 있는지 궁금합니다. 그런 음식을 섭취하면 어떻게 좋은지도 함께 설명해주시면 감사하겠습니다. 또 반대로 임신 중에는 섭취하지 않는게 좋은 음식엔 어떤게 있나요?안녕하세요. 임신 중에는 영양분 섭취가 매우 중요합니다. 단백질: 양념없이 구운 닭가슴살, 생선, 콩, 두부, 견과류 등의 단백질을 많이 포함한 식품이 좋습니다. 철분: 빨간 고기, 달걀, 아몬드, 시금치, 렌즈콩, 콩나물 등 철분을 많이 포함한 음식을 추천합니다. 엽산: 아스파라거스, 브로콜리, 시금치, 파프리카, 검은 콩, 땅콩, 레바다 등의 엽산을 많이 포함한 음식을 먹으세요.칼슘: 요거트, 우유, 치즈, 두부, 녹색 잎 채소 등 칼슘을 많이 포함한 음식을 먹으세요.오메가-3 지방산: 연어, 참치, 고등어, 마른 열매, 아몬드 등 오메가-3 지방산을 많이 포함한 음식이 도움 됩니다. 또한, 임신 중에는 과일, 채소, 전분류 식품, 전분이 적은 곡류 등 다양한 식품군을 균형 있게 먹는 것이 좋습니다. 임신 중에는 알코올, 카페인, 자극적인 음식 등은 피하는 것이 좋습니다. 또한, 음식을 조리할 때 손질과 보관에 특별히 신경써서 식중독 예방에 주의해야 합니다.","
          이정은 영양사
        ",https://www.a-ha.io/questions/474066c4422fc8d099ea568e77dd54dc?aha_term=%EC%9E%84%EC%8B%A0
9,"
      2023. 04. 21. 21:57
    ","
      임신중인 수습근로자 권고사직과 해고
    ",임신중인근로자가 수습근로자가 있습니다.임신과 상관없이 근무태도로 인하여 권고사직이나 해고를 했으면 싶은데요.임신중이면 근무태도와 상관없이 절대 권고사직이나 해고 자체가 안되나요?,안녕하세요? 아하(Aha) 노무상담 분야 전문가 김호병 노무사입니다.질문하신 내용에 대하여 아래와 같이 답변드립니다.임신기간에도 정당한 해고 사유가 있으면 해고가 가능합니다.,"
      임신중인 수습근로자 권고사직과 해고
    임신중인근로자가 수습근로자가 있습니다.임신과 상관없이 근무태도로 인하여 권고사직이나 해고를 했으면 싶은데요.임신중이면 근무태도와 상관없이 절대 권고사직이나 해고 자체가 안되나요?안녕하세요? 아하(Aha) 노무상담 분야 전문가 김호병 노무사입니다.질문하신 내용에 대하여 아래와 같이 답변드립니다.임신기간에도 정당한 해고 사유가 있으면 해고가 가능합니다.","
          김호병 노무사
        ",https://www.a-ha.io/questions/48ed0a3add43ba62a2db8d6047043ccf?aha_term=%EC%9E%84%EC%8B%A0
